id,text,labels,group,split,mp3_path
33,Artist: steven devine. Album: portrait of an english harpsichord. Track: 01 lesson 1 in g major prelude james nares. Excerpt 30-59 seconds.,classical|fast|harpsichord|loud,steven devine,test,e/steven_devine-portrait_of_an_english_harpsichord-01-lesson_1_in_g_major_prelude_james_nares-30-59.mp3
37,Artist: the headroom project. Album: jetuton andawai. Track: 01 linda morena. Excerpt 59-88 seconds.,vocals|female|foreign,the headroom project,test,f/the_headroom_project-jetuton_andawai-01-linda_morena-59-88.mp3
38,Artist: the headroom project. Album: jetuton andawai. Track: 01 linda morena. Excerpt 88-117 seconds.,female|pop|foreign,the headroom project,test,f/the_headroom_project-jetuton_andawai-01-linda_morena-88-117.mp3
39,Artist: american bach soloists. Album: heinrich schutz musicalische exequien. Track: 01 musicalische exequien swv 279 teil i concert in form einer teutschen begrabnismissa. Excerpt 0-29 seconds.,slow,american bach soloists,train,9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-0-29.mp3
40,Artist: american bach soloists. Album: heinrich schutz musicalische exequien. Track: 01 musicalische exequien swv 279 teil i concert in form einer teutschen begrabnismissa. Excerpt 30-59 seconds.,male|opera,american bach soloists,train,9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-30-59.mp3
44,Artist: american bach soloists. Album: heinrich schutz musicalische exequien. Track: 01 musicalische exequien swv 279 teil i concert in form einer teutschen begrabnismissa. Excerpt 146-175 seconds.,opera,american bach soloists,train,9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-146-175.mp3
48,Artist: american bach soloists. Album: heinrich schutz musicalische exequien. Track: 01 musicalische exequien swv 279 teil i concert in form einer teutschen begrabnismissa. Excerpt 262-291 seconds.,vocals|female|opera|choir,american bach soloists,train,9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-262-291.mp3
49,Artist: american bach soloists. Album: heinrich schutz musicalische exequien. Track: 01 musicalische exequien swv 279 teil i concert in form einer teutschen begrabnismissa. Excerpt 291-320 seconds.,choir,american bach soloists,train,9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-291-320.mp3
50,Artist: american bach soloists. Album: heinrich schutz musicalische exequien. Track: 01 musicalische exequien swv 279 teil i concert in form einer teutschen begrabnismissa. Excerpt 320-349 seconds.,choir,american bach soloists,train,9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-320-349.mp3
51,Artist: american bach soloists. Album: heinrich schutz musicalische exequien. Track: 01 musicalische exequien swv 279 teil i concert in form einer teutschen begrabnismissa. Excerpt 349-378 seconds.,classical|vocals|female|opera|quiet|choir,american bach soloists,train,9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-349-378.mp3
53,Artist: american bach soloists. Album: heinrich schutz musicalische exequien. Track: 01 musicalische exequien swv 279 teil i concert in form einer teutschen begrabnismissa. Excerpt 407-436 seconds.,classical|vocals|opera,american bach soloists,train,9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-407-436.mp3
56,Artist: american bach soloists. Album: heinrich schutz musicalische exequien. Track: 01 musicalische exequien swv 279 teil i concert in form einer teutschen begrabnismissa. Excerpt 494-523 seconds.,classical|opera,american bach soloists,train,9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-494-523.mp3
63,Artist: american bach soloists. Album: heinrich schutz musicalische exequien. Track: 01 musicalische exequien swv 279 teil i concert in form einer teutschen begrabnismissa. Excerpt 697-726 seconds.,opera|choir,american bach soloists,train,9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-697-726.mp3
66,Artist: american bach soloists. Album: heinrich schutz musicalische exequien. Track: 01 musicalische exequien swv 279 teil i concert in form einer teutschen begrabnismissa. Excerpt 784-813 seconds.,classical|slow|male|female|opera|choir,american bach soloists,train,9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-784-813.mp3
67,Artist: american bach soloists. Album: heinrich schutz musicalische exequien. Track: 01 musicalische exequien swv 279 teil i concert in form einer teutschen begrabnismissa. Excerpt 813-842 seconds.,slow|female|opera|quiet,american bach soloists,train,9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-813-842.mp3
71,Artist: american bach soloists. Album: heinrich schutz musicalische exequien. Track: 01 musicalische exequien swv 279 teil i concert in form einer teutschen begrabnismissa. Excerpt 929-958 seconds.,classical|female|opera|choir,american bach soloists,train,9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-929-958.mp3
73,Artist: american bach soloists. Album: heinrich schutz musicalische exequien. Track: 01 musicalische exequien swv 279 teil i concert in form einer teutschen begrabnismissa. Excerpt 987-1016 seconds.,male|opera,american bach soloists,train,9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-987-1016.mp3
74,Artist: american bach soloists. Album: heinrich schutz musicalische exequien. Track: 01 musicalische exequien swv 279 teil i concert in form einer teutschen begrabnismissa. Excerpt 1016-1045 seconds.,male|opera,american bach soloists,train,9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-1016-1045.mp3
76,Artist: american bach soloists. Album: heinrich schutz musicalische exequien. Track: 01 musicalische exequien swv 279 teil i concert in form einer teutschen begrabnismissa. Excerpt 1074-1103 seconds.,slow|vocals|male|opera|soft|chanting,american bach soloists,train,9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-1074-1103.mp3
78,Artist: american bach soloists. Album: heinrich schutz musicalische exequien. Track: 01 musicalische exequien swv 279 teil i concert in form einer teutschen begrabnismissa. Excerpt 1132-1161 seconds.,opera,american bach soloists,train,9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-1132-1161.mp3
79,Artist: american bach soloists. Album: heinrich schutz musicalische exequien. Track: 01 musicalische exequien swv 279 teil i concert in form einer teutschen begrabnismissa. Excerpt 1161-1190 seconds.,slow|quiet,american bach soloists,train,9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-1161-1190.mp3
80,Artist: american bach soloists. Album: heinrich schutz musicalische exequien. Track: 01 musicalische exequien swv 279 teil i concert in form einer teutschen begrabnismissa. Excerpt 1190-1219 seconds.,male|opera,american bach soloists,train,9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-1190-1219.mp3
81,Artist: american bach soloists. Album: heinrich schutz musicalische exequien. Track: 01 musicalische exequien swv 279 teil i concert in form einer teutschen begrabnismissa. Excerpt 1219-1248 seconds.,classical|male|opera|choir,american bach soloists,train,9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-1219-1248.mp3
82,Artist: american bach soloists. Album: heinrich schutz musicalische exequien. Track: 01 musicalische exequien swv 279 teil i concert in form einer teutschen begrabnismissa. Excerpt 1248-1277 seconds.,classical|male|choir,american bach soloists,train,9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-1248-1277.mp3
83,Artist: american bach soloists. Album: heinrich schutz musicalische exequien. Track: 01 musicalische exequien swv 279 teil i concert in form einer teutschen begrabnismissa. Excerpt 1277-1306 seconds.,vocals|female|opera|choir,american bach soloists,train,9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-1277-1306.mp3
84,Artist: american bach soloists. Album: heinrich schutz musicalische exequien. Track: 01 musicalische exequien swv 279 teil i concert in form einer teutschen begrabnismissa. Excerpt 1306-1335 seconds.,vocals|opera|choir,american bach soloists,train,9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-1306-1335.mp3
85,Artist: american bach soloists. Album: heinrich schutz musicalische exequien. Track: 01 musicalische exequien swv 279 teil i concert in form einer teutschen begrabnismissa. Excerpt 1335-1364 seconds.,opera|choir,american bach soloists,train,9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-1335-1364.mp3
90,Artist: ralph meulenbroeks. Album: gambomania. Track: 01 my mistress hath a pritty thing tobias hume. Excerpt 59-88 seconds.,classical|strings|fast|violin|solo|cello,ralph meulenbroeks,train,6/ralph_meulenbroeks-gambomania-01-my_mistress_hath_a_pritty_thing_tobias_hume-59-88.mp3
91,Artist: ralph meulenbroeks. Album: gambomania. Track: 01 my mistress hath a pritty thing tobias hume. Excerpt 88-117 seconds.,classical|strings|violin|cello,ralph meulenbroeks,train,6/ralph_meulenbroeks-gambomania-01-my_mistress_hath_a_pritty_thing_tobias_hume-88-117.mp3
92,Artist: ralph meulenbroeks. Album: gambomania. Track: 01 my mistress hath a pritty thing tobias hume. Excerpt 117-146 seconds.,classical|slow|strings|cello,ralph meulenbroeks,train,6/ralph_meulenbroeks-gambomania-01-my_mistress_hath_a_pritty_thing_tobias_hume-117-146.mp3
94,Artist: ralph meulenbroeks. Album: gambomania. Track: 01 my mistress hath a pritty thing tobias hume. Excerpt 175-204 seconds.,classical|strings|no vocals|violin|soft|cello,ralph meulenbroeks,train,6/ralph_meulenbroeks-gambomania-01-my_mistress_hath_a_pritty_thing_tobias_hume-175-204.mp3
97,Artist: philharmonia baroque orchestra. Album: jake heggie to hell and back. Track: 01 overture. Excerpt 59-88 seconds.,classical|orchestra,philharmonia baroque orchestra,train,9/philharmonia_baroque_orchestra-jake_heggie__to_hell_and_back-01-overture-59-88.mp3
98,Artist: philharmonia baroque orchestra. Album: jake heggie to hell and back. Track: 01 overture. Excerpt 88-117 seconds.,classical|strings|fast|violin|orchestra,philharmonia baroque orchestra,train,9/philharmonia_baroque_orchestra-jake_heggie__to_hell_and_back-01-overture-88-117.mp3
99,Artist: philharmonia baroque orchestra. Album: jake heggie to hell and back. Track: 01 overture. Excerpt 117-146 seconds.,classical|modern|orchestra,philharmonia baroque orchestra,train,9/philharmonia_baroque_orchestra-jake_heggie__to_hell_and_back-01-overture-117-146.mp3
101,Artist: rocket city riot. Album: last of the pleasure seekers. Track: 01 under the bright lights. Excerpt 30-59 seconds.,rock,rocket city riot,train,0/rocket_city_riot-last_of_the_pleasure_seekers-01-under_the_bright_lights-30-59.mp3
105,Artist: rocket city riot. Album: last of the pleasure seekers. Track: 01 under the bright lights. Excerpt 146-175 seconds.,guitar|rock|fast,rocket city riot,train,0/rocket_city_riot-last_of_the_pleasure_seekers-01-under_the_bright_lights-146-175.mp3
115,Artist: tilopa. Album: turkishauch. Track: 01 1x3. Excerpt 0-29 seconds.,flute,tilopa,test,f/tilopa-turkishauch-01-1x3-0-29.mp3
116,Artist: tilopa. Album: turkishauch. Track: 01 1x3. Excerpt 30-59 seconds.,flute,tilopa,test,f/tilopa-turkishauch-01-1x3-30-59.mp3
117,Artist: tilopa. Album: turkishauch. Track: 01 1x3. Excerpt 59-88 seconds.,flute,tilopa,test,f/tilopa-turkishauch-01-1x3-59-88.mp3
118,Artist: tilopa. Album: turkishauch. Track: 01 1x3. Excerpt 88-117 seconds.,slow|no vocals|flute|new age,tilopa,test,f/tilopa-turkishauch-01-1x3-88-117.mp3
119,Artist: tilopa. Album: turkishauch. Track: 01 1x3. Excerpt 117-146 seconds.,slow|flute|no piano,tilopa,test,f/tilopa-turkishauch-01-1x3-117-146.mp3
120,Artist: tilopa. Album: turkishauch. Track: 01 1x3. Excerpt 146-175 seconds.,flute,tilopa,test,f/tilopa-turkishauch-01-1x3-146-175.mp3
122,Artist: tilopa. Album: turkishauch. Track: 01 1x3. Excerpt 204-233 seconds.,ambient|synth|flute,tilopa,test,f/tilopa-turkishauch-01-1x3-204-233.mp3
123,Artist: tilopa. Album: turkishauch. Track: 01 1x3. Excerpt 233-262 seconds.,flute,tilopa,test,f/tilopa-turkishauch-01-1x3-233-262.mp3
128,Artist: tilopa. Album: turkishauch. Track: 01 1x3. Excerpt 378-407 seconds.,flute,tilopa,test,f/tilopa-turkishauch-01-1x3-378-407.mp3
133,Artist: williamson. Album: a few things to hear before we all blow up. Track: 01 2 percent er. Excerpt 88-117 seconds.,new age,williamson,train,0/williamson-a_few_things_to_hear_before_we_all_blow_up-01-2_percent_er-88-117.mp3
134,Artist: williamson. Album: a few things to hear before we all blow up. Track: 01 2 percent er. Excerpt 117-146 seconds.,slow|techno|drums|electronic|ambient|synth|indian|loud|weird,williamson,train,0/williamson-a_few_things_to_hear_before_we_all_blow_up-01-2_percent_er-117-146.mp3
135,Artist: williamson. Album: a few things to hear before we all blow up. Track: 01 2 percent er. Excerpt 146-175 seconds.,electric,williamson,train,0/williamson-a_few_things_to_hear_before_we_all_blow_up-01-2_percent_er-146-175.mp3
139,Artist: new york consort of viols. Album: dances and canzonas of holborne and brade. Track: 01 3 almaines holborne. Excerpt 59-88 seconds.,classical|violin|cello,new york consort of viols,train,5/new_york_consort_of_viols-dances_and_canzonas_of_holborne_and_brade-01-3_almaines_holborne-59-88.mp3
144,Artist: new york consort of viols. Album: dances and canzonas of holborne and brade. Track: 01 3 almaines holborne. Excerpt 204-233 seconds.,classical|strings,new york consort of viols,train,5/new_york_consort_of_viols-dances_and_canzonas_of_holborne_and_brade-01-3_almaines_holborne-204-233.mp3
145,Artist: new york consort of viols. Album: dances and canzonas of holborne and brade. Track: 01 3 almaines holborne. Excerpt 233-262 seconds.,classical|strings|violin,new york consort of viols,train,5/new_york_consort_of_viols-dances_and_canzonas_of_holborne_and_brade-01-3_almaines_holborne-233-262.mp3
146,Artist: new york consort of viols. Album: dances and canzonas of holborne and brade. Track: 01 3 almaines holborne. Excerpt 262-291 seconds.,classical|strings|violin,new york consort of viols,train,5/new_york_consort_of_viols-dances_and_canzonas_of_holborne_and_brade-01-3_almaines_holborne-262-291.mp3
147,Artist: new york consort of viols. Album: dances and canzonas of holborne and brade. Track: 01 3 almaines holborne. Excerpt 291-320 seconds.,classical|slow|strings|violin,new york consort of viols,train,5/new_york_consort_of_viols-dances_and_canzonas_of_holborne_and_brade-01-3_almaines_holborne-291-320.mp3
148,Artist: new york consort of viols. Album: dances and canzonas of holborne and brade. Track: 01 3 almaines holborne. Excerpt 320-349 seconds.,guitar,new york consort of viols,train,5/new_york_consort_of_viols-dances_and_canzonas_of_holborne_and_brade-01-3_almaines_holborne-320-349.mp3
150,Artist: new york consort of viols. Album: dances and canzonas of holborne and brade. Track: 01 3 almaines holborne. Excerpt 378-407 seconds.,classical|violin|quiet|cello,new york consort of viols,train,5/new_york_consort_of_viols-dances_and_canzonas_of_holborne_and_brade-01-3_almaines_holborne-378-407.mp3
151,Artist: new york consort of viols. Album: dances and canzonas of holborne and brade. Track: 01 3 almaines holborne. Excerpt 407-436 seconds.,classical|slow|strings|violin|cello,new york consort of viols,train,5/new_york_consort_of_viols-dances_and_canzonas_of_holborne_and_brade-01-3_almaines_holborne-407-436.mp3
153,Artist: new york consort of viols. Album: dances and canzonas of holborne and brade. Track: 01 3 almaines holborne. Excerpt 465-494 seconds.,classical|slow|strings|violin,new york consort of viols,train,5/new_york_consort_of_viols-dances_and_canzonas_of_holborne_and_brade-01-3_almaines_holborne-465-494.mp3
154,Artist: new york consort of viols. Album: dances and canzonas of holborne and brade. Track: 01 3 almaines holborne. Excerpt 494-523 seconds.,classical|strings|violin,new york consort of viols,train,5/new_york_consort_of_viols-dances_and_canzonas_of_holborne_and_brade-01-3_almaines_holborne-494-523.mp3
157,Artist: new york consort of viols. Album: dances and canzonas of holborne and brade. Track: 01 3 almaines holborne. Excerpt 581-610 seconds.,classical|strings|violin,new york consort of viols,train,5/new_york_consort_of_viols-dances_and_canzonas_of_holborne_and_brade-01-3_almaines_holborne-581-610.mp3
158,Artist: new york consort of viols. Album: dances and canzonas of holborne and brade. Track: 01 3 almaines holborne. Excerpt 610-639 seconds.,classical|strings|violin,new york consort of viols,train,5/new_york_consort_of_viols-dances_and_canzonas_of_holborne_and_brade-01-3_almaines_holborne-610-639.mp3
164,Artist: mercy machine. Album: the devil i know. Track: 01 30 years. Excerpt 88-117 seconds.,slow|vocals,mercy machine,train,6/mercy_machine-the_devil_i_know-01-30_years-88-117.mp3
165,Artist: mercy machine. Album: the devil i know. Track: 01 30 years. Excerpt 117-146 seconds.,vocals|modern,mercy machine,train,6/mercy_machine-the_devil_i_know-01-30_years-117-146.mp3
170,Artist: mercy machine. Album: the devil i know. Track: 01 30 years. Excerpt 262-291 seconds.,guitar|slow|piano|soft|no beat,mercy machine,train,6/mercy_machine-the_devil_i_know-01-30_years-262-291.mp3
172,Artist: liquid zen. Album: magic midsummer. Track: 01 4 oclock sunny and hot. Excerpt 30-59 seconds.,slow|techno|drums|electronic|no vocals|beats|ambient|synth,liquid zen,train,a/liquid_zen-magic_midsummer-01-4_oclock_sunny_and_hot-30-59.mp3
173,Artist: liquid zen. Album: magic midsummer. Track: 01 4 oclock sunny and hot. Excerpt 59-88 seconds.,drums|no vocals|loud,liquid zen,train,a/liquid_zen-magic_midsummer-01-4_oclock_sunny_and_hot-59-88.mp3
174,Artist: liquid zen. Album: magic midsummer. Track: 01 4 oclock sunny and hot. Excerpt 88-117 seconds.,no vocals|loud,liquid zen,train,a/liquid_zen-magic_midsummer-01-4_oclock_sunny_and_hot-88-117.mp3
177,Artist: burning babylon. Album: stereo mash up. Track: 01 7 nine skank. Excerpt 59-88 seconds.,drums|electronic|synth|weird,burning babylon,test,e/burning_babylon-stereo_mash_up-01-7_nine_skank-59-88.mp3
178,Artist: burning babylon. Album: stereo mash up. Track: 01 7 nine skank. Excerpt 88-117 seconds.,guitar|slow|drums|rock|fast|male|beats|dance|jazz|bass|modern,burning babylon,test,e/burning_babylon-stereo_mash_up-01-7_nine_skank-88-117.mp3
180,Artist: burning babylon. Album: stereo mash up. Track: 01 7 nine skank. Excerpt 146-175 seconds.,techno|synth,burning babylon,test,e/burning_babylon-stereo_mash_up-01-7_nine_skank-146-175.mp3
181,Artist: burning babylon. Album: stereo mash up. Track: 01 7 nine skank. Excerpt 175-204 seconds.,techno|no vocals|weird,burning babylon,test,e/burning_babylon-stereo_mash_up-01-7_nine_skank-175-204.mp3
184,Artist: pain factor. Album: 8 seconds. Track: 01 8 seconds. Excerpt 59-88 seconds.,rock|loud|heavy,pain factor,test,f/pain_factor-8_seconds-01-8_seconds-59-88.mp3
185,Artist: pain factor. Album: 8 seconds. Track: 01 8 seconds. Excerpt 88-117 seconds.,rock|male|heavy|hard,pain factor,test,f/pain_factor-8_seconds-01-8_seconds-88-117.mp3
186,Artist: pain factor. Album: 8 seconds. Track: 01 8 seconds. Excerpt 117-146 seconds.,rock|heavy,pain factor,test,f/pain_factor-8_seconds-01-8_seconds-117-146.mp3
188,Artist: pain factor. Album: 8 seconds. Track: 01 8 seconds. Excerpt 175-204 seconds.,guitar|rock|male|loud|heavy,pain factor,test,f/pain_factor-8_seconds-01-8_seconds-175-204.mp3
190,Artist: the seldon plan. Album: making circles. Track: 01 a rhyming dictionary. Excerpt 30-59 seconds.,guitar|drums|rock|beats|pop,the seldon plan,train,9/the_seldon_plan-making_circles-01-a_rhyming_dictionary-30-59.mp3
195,Artist: the seldon plan. Album: making circles. Track: 01 a rhyming dictionary. Excerpt 175-204 seconds.,rock,the seldon plan,train,9/the_seldon_plan-making_circles-01-a_rhyming_dictionary-175-204.mp3
198,Artist: mountain mirrors. Album: lunar ecstasy. Track: 01 a short burst of clarity. Excerpt 30-59 seconds.,vocals|rock,mountain mirrors,val,c/mountain_mirrors-lunar_ecstasy-01-a_short_burst_of_clarity-30-59.mp3
199,Artist: mountain mirrors. Album: lunar ecstasy. Track: 01 a short burst of clarity. Excerpt 59-88 seconds.,guitar|vocals|male,mountain mirrors,val,c/mountain_mirrors-lunar_ecstasy-01-a_short_burst_of_clarity-59-88.mp3
200,Artist: mountain mirrors. Album: lunar ecstasy. Track: 01 a short burst of clarity. Excerpt 88-117 seconds.,guitar|rock|male|violin,mountain mirrors,val,c/mountain_mirrors-lunar_ecstasy-01-a_short_burst_of_clarity-88-117.mp3
202,Artist: mountain mirrors. Album: lunar ecstasy. Track: 01 a short burst of clarity. Excerpt 146-175 seconds.,guitar|rock,mountain mirrors,val,c/mountain_mirrors-lunar_ecstasy-01-a_short_burst_of_clarity-146-175.mp3
204,Artist: professor armchair. Album: too much mustard. Track: 01 a signal from mars. Excerpt 0-29 seconds.,techno|electronic|synth|weird,professor armchair,test,f/professor_armchair-too_much_mustard-01-a_signal_from_mars-0-29.mp3
206,Artist: professor armchair. Album: too much mustard. Track: 01 a signal from mars. Excerpt 59-88 seconds.,electronic,professor armchair,test,f/professor_armchair-too_much_mustard-01-a_signal_from_mars-59-88.mp3
219,Artist: jacob heringman. Album: jane pickeringes lute book. Track: 01 a toy. Excerpt 0-29 seconds.,guitar|strings,jacob heringman,train,b/jacob_heringman-jane_pickeringes_lute_book-01-a_toy-0-29.mp3
224,Artist: electric frankenstein. Album: sick songs. Track: 01 action high. Excerpt 117-146 seconds.,guitar|drums|rock|loud|hard,electric frankenstein,test,d/electric_frankenstein-sick_songs-01-action_high-117-146.mp3
231,Artist: apa ya. Album: apa ya. Track: 01 african dance. Excerpt 59-88 seconds.,foreign,apa ya,train,0/apa_ya-apa_ya-01-african_dance-59-88.mp3
232,Artist: apa ya. Album: apa ya. Track: 01 african dance. Excerpt 88-117 seconds.,techno|drums|beats|indian,apa ya,train,0/apa_ya-apa_ya-01-african_dance-88-117.mp3
234,Artist: seismic anamoly. Album: afterburner. Track: 01 afterburner. Excerpt 0-29 seconds.,guitar|techno|rock|fast|synth,seismic anamoly,test,d/seismic_anamoly-afterburner-01-afterburner-0-29.mp3
238,Artist: seismic anamoly. Album: afterburner. Track: 01 afterburner. Excerpt 117-146 seconds.,rock,seismic anamoly,test,d/seismic_anamoly-afterburner-01-afterburner-117-146.mp3
239,Artist: seismic anamoly. Album: afterburner. Track: 01 afterburner. Excerpt 146-175 seconds.,rock,seismic anamoly,test,d/seismic_anamoly-afterburner-01-afterburner-146-175.mp3
241,Artist: seismic anamoly. Album: afterburner. Track: 01 afterburner. Excerpt 204-233 seconds.,rock,seismic anamoly,test,d/seismic_anamoly-afterburner-01-afterburner-204-233.mp3
244,Artist: voices of music. Album: an evening with bach. Track: 01 air on a g string bwv 1069. Excerpt 59-88 seconds.,quiet,voices of music,train,0/voices_of_music-an_evening_with_bach-01-air_on_a_g_string_bwv_1069-59-88.mp3
246,Artist: voices of music. Album: an evening with bach. Track: 01 air on a g string bwv 1069. Excerpt 117-146 seconds.,classical|slow|strings|violin|quiet,voices of music,train,0/voices_of_music-an_evening_with_bach-01-air_on_a_g_string_bwv_1069-117-146.mp3
248,Artist: voices of music. Album: an evening with bach. Track: 01 air on a g string bwv 1069. Excerpt 175-204 seconds.,slow|strings|quiet,voices of music,train,0/voices_of_music-an_evening_with_bach-01-air_on_a_g_string_bwv_1069-175-204.mp3
252,Artist: rocket city riot. Album: middle age suicide. Track: 01 all i got. Excerpt 0-29 seconds.,rock,rocket city riot,train,0/rocket_city_riot-middle_age_suicide-01-all_i_got-0-29.mp3
253,Artist: rocket city riot. Album: middle age suicide. Track: 01 all i got. Excerpt 30-59 seconds.,rock|male|heavy,rocket city riot,train,0/rocket_city_riot-middle_age_suicide-01-all_i_got-30-59.mp3
283,Artist: john fleagle. Album: worlds bliss medieval songs of love and death. Track: 01 alysoun. Excerpt 0-29 seconds.,strings|violin|no beat,john fleagle,train,5/john_fleagle-worlds_bliss__medieval_songs_of_love_and_death-01-alysoun-0-29.mp3
284,Artist: john fleagle. Album: worlds bliss medieval songs of love and death. Track: 01 alysoun. Excerpt 30-59 seconds.,slow|vocals|male|violin|folk,john fleagle,train,5/john_fleagle-worlds_bliss__medieval_songs_of_love_and_death-01-alysoun-30-59.mp3
