id,text,labels,group,split,genre_top,subset
619,"Track: Pebble Beach. Artist: Ed Askew. Album: Viridian City. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,medium
620,"Track: Arabesque. Artist: Ed Askew. Album: Viridian City. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
621,"Track: Blue Eyed Baby. Artist: Ed Askew. Album: Rainy Day Song. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
625,"Track: Climbing To The Top. Artist: Ed Askew. Album: Rainy Day Song. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,small
629,"Track: Dancing On Water. Artist: Ed Askew. Album: Viridian City. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,medium
631,"Track: Buddha Smiles. Artist: Ed Askew. Album: Viridian City. From New York, NY. Tags: ed askew.",Folk,Ed Askew,train,Folk,medium
633,"Track: Indian Giver. Artist: El Jesus De Magico. Album: Funeral Home Session 7"". From Columbus, OH. Tags: el jesus de magico.",Rock,El Jesus De Magico,train,Rock,medium
635,"Track: Xmas at Wounded Knee. Artist: El Jesus De Magico. Album: Funeral Home Session 7"". From Columbus, OH. Tags: el jesus de magico.",Rock,El Jesus De Magico,train,Rock,medium
664,"Track: side 6 - not funny. Artist: Ethan Persoff. Album: 25 Lessons in HYPNOTISM. From Austin, TX. Tags: austin, ethan persoff.",Electronic,Ethan Persoff,train,Electronic,medium
665,"Track: Disneyland (edit). Artist: Ethan Persoff. Album: Forty Minutes Forty Memories: Horrible Music by Ethan Persoff. From Austin, TX. Tags: austin, ethan persoff.",Electronic,Ethan Persoff,train,Electronic,medium
666,"Track: Heat. Artist: Explode Into Colors. Album: summer 2008 demos. From Portland, OR. Tags: explode into colors.",International|Reggae - Dub,Explode Into Colors,train,International,small
667,"Track: Sharpen The Knife. Artist: Explode Into Colors. Album: summer 2008 demos. From Portland, OR. Tags: explode into colors.",International|Reggae - Dub,Explode Into Colors,train,International,small
668,Track: Dream. Artist: Fanatic. Album: Change Thoughts (radio edit). Tags: fanatic.,Hip-Hop,Fanatic,train,Hip-Hop,medium
669,Track: Dream. Artist: Fanatic. Album: Change Thoughts. Tags: fanatic.,Hip-Hop,Fanatic,train,Hip-Hop,medium
672,Track: Rise. Artist: Fanatic. Album: Change Thoughts (radio edit). Tags: fanatic.,Hip-Hop,Fanatic,train,Hip-Hop,medium
673,Track: Rise. Artist: Fanatic. Album: Change Thoughts. Tags: fanatic.,Hip-Hop,Fanatic,train,Hip-Hop,medium
674,Track: Enterprizin. Artist: Fanatic. Album: Change Thoughts (radio edit). Tags: fanatic.,Hip-Hop,Fanatic,train,Hip-Hop,medium
676,Track: The Tension. Artist: Fanatic. Album: Change Thoughts (radio edit). Tags: fanatic.,Hip-Hop,Fanatic,train,Hip-Hop,small
677,Track: The_Tension. Artist: Fanatic. Album: Change Thoughts. Tags: fanatic.,Hip-Hop,Fanatic,train,Hip-Hop,medium
679,Track: Change Thoughts. Artist: Fanatic. Album: Change Thoughts. Tags: fanatic.,Hip-Hop,Fanatic,train,Hip-Hop,medium
680,Track: Sunshine. Artist: Fanatic. Album: Change Thoughts (radio edit). Tags: fanatic.,Hip-Hop,Fanatic,train,Hip-Hop,medium
681,Track: Sunshine. Artist: Fanatic. Album: Change Thoughts. Tags: fanatic.,Hip-Hop,Fanatic,train,Hip-Hop,medium
684,Track: Late Night Show. Artist: Fanatic. Album: Change Thoughts (radio edit). Tags: fanatic.,Hip-Hop,Fanatic,train,Hip-Hop,medium
686,Track: Murder. Artist: Fanatic. Album: Change Thoughts (radio edit). Tags: fanatic.,Hip-Hop,Fanatic,train,Hip-Hop,medium
690,"Track: Cataclysm. Artist: Flying Luttenbachers. Album: Cataclysm. From Chicago, IL. Tags: flying luttenbachers.",Rock,Flying Luttenbachers,val,Rock,small
694,"Track: Planet Say (featuring Faust). Artist: Food For Animals. Album: mp3 single with Faust. From Baltimore, MD. Tags: baltimore, food for animals.",Hip-Hop,Food For Animals,train,Hip-Hop,small
695,"Track: Elephants. Artist: Food For Animals. Album: Cock Rock Disco 2006 Free Compilation. From Baltimore, MD. Tags: baltimore, food for animals.",Hip-Hop,Food For Animals,train,Hip-Hop,small
696,"Track: Korea. Artist: Foot Village. Album: Fuck The Future. From Los Angeles, CA. Tags: foot village.",Rock|Loud-Rock,Foot Village,train,Rock,medium
698,"Track: Iran. Artist: Foot Village. Album: Fuck The Future. From Los Angeles, CA. Tags: foot village.",Rock|Loud-Rock,Foot Village,train,Rock,medium
701,"Track: Japan. Artist: Foot Village. Album: Fuck The Future. From Los Angeles, CA. Tags: foot village.",Rock|Loud-Rock,Foot Village,train,Rock,medium
702,"Track: Mexico. Artist: Foot Village. Album: Fuck The Future. From Los Angeles, CA. Tags: foot village.",Rock|Loud-Rock,Foot Village,train,Rock,medium
703,"Track: Peru Austria and Canada. Artist: Foot Village. Album: Fuck The Future. From Los Angeles, CA. Tags: foot village.",Rock|Loud-Rock,Foot Village,train,Rock,medium
704,"Track: Mano De Dios. Artist: Fósforo. Album: Macondo. From Los Angeles, CA. Tags: fosforo, reggae, latin, spanish, reggaeton, fsforo.",International,Fósforo,test,International,small
705,"Track: Tio Cocodrilo. Artist: Fósforo. Album: Macondo. From Los Angeles, CA. Tags: fosforo, reggae, latin, spanish, reggaeton, fsforo.",International,Fósforo,test,International,small
706,"Track: Esto Es Califas. Artist: Fósforo. Album: Macondo. From Los Angeles, CA. Tags: fosforo, reggae, latin, spanish, reggaeton, fsforo.",International,Fósforo,test,International,small
707,"Track: Cochabamba. Artist: Fósforo. Album: Macondo. From Los Angeles, CA. Tags: fosforo, reggae, latin, spanish, reggaeton, fsforo.",International,Fósforo,test,International,small
708,"Track: Desconocido. Artist: Fósforo. Album: Macondo. From Los Angeles, CA. Tags: fosforo, reggae, latin, spanish, reggaeton, fsforo.",International,Fósforo,test,International,small
709,"Track: Cumbia De Obama. Artist: Fósforo. Album: Macondo. From Los Angeles, CA. Tags: fosforo, reggae, latin, spanish, reggaeton, fsforo.",International,Fósforo,test,International,small
714,"Track: Circle Moon. Artist: Fursaxa. Album: The Cult From Moon Mountain. From Philadelphia, PA. Tags: fursaxa.",Folk,Fursaxa,train,Folk,small
715,"Track: Kokopelli. Artist: Fursaxa. Album: Kobold Moon. From Philadelphia, PA. Tags: fursaxa.",Folk,Fursaxa,train,Folk,small
716,"Track: Saxalainen. Artist: Fursaxa. Album: Kobold Moon. From Philadelphia, PA. Tags: fursaxa.",Folk,Fursaxa,train,Folk,small
717,"Track: Tyranny. Artist: Fursaxa. Album: The Cult From Moon Mountain. From Philadelphia, PA. Tags: fursaxa.",Folk,Fursaxa,train,Folk,medium
718,"Track: Song Of The Spindle Berry. Artist: Fursaxa. Album: Kobold Moon. From Philadelphia, PA. Tags: fursaxa.",Folk,Fursaxa,train,Folk,small
720,"Track: Camera Shy. Artist: Fuzz Unlimited. Album: Take A hit. From PO Box 11568 / Balt MD 21229. Tags: baltimore, fuzz unlimited.",Rock,Fuzz Unlimited,train,Rock,medium
777,"Track: Relaxing. Artist: Glove Compartment. Album: Quickies. From Brooklyn, NY. Tags: glove compartment.",Rock,Glove Compartment,train,Rock,small
814,Track: Motion Passings. Artist: Hall Of Fame. Album: Hall of Fame (2000). Tags: hall of fame.,Folk,Hall Of Fame,train,Folk,small
819,"Track: suBwarren1. Artist: Hans Grüsel's Krankenkabinet. Album: unreleased mp3s from Hans Grüsel's. From San Francisco, CA. Tags: hans grsels krankenkabinet.",Avant-Garde|Experimental,Hans Grüsel's Krankenkabinet,train,Experimental,medium
820,"Track: suBwarren2. Artist: Hans Grüsel's Krankenkabinet. Album: unreleased mp3s from Hans Grüsel's. From San Francisco, CA. Tags: hans grsels krankenkabinet.",Avant-Garde|Experimental,Hans Grüsel's Krankenkabinet,train,Experimental,medium
821,"Track: Sir. Artist: Hecuba. Album: Sir 12"" EP. From Los Angeles, CA. Tags: hecuba.",Pop,Hecuba,train,Pop,small
822,"Track: Tom & Jerry. Artist: Hecuba. Album: Sir 12"" EP. From Los Angeles, CA. Tags: hecuba.",Pop,Hecuba,train,Pop,small
823,"Track: YES. Artist: Hecuba. Album: Sir 12"" EP. From Los Angeles, CA. Tags: hecuba.",Pop,Hecuba,train,Pop,medium
824,"Track: Black Mold. Artist: Here Comes A Big Black Cloud!!. Album: Here Comes A Big Black Cloud!!. From Portland, OR. Tags: here comes a big black cloud.",Psych-Rock|Indie-Rock|Rock|Loud-Rock,Here Comes A Big Black Cloud!!,train,Rock,medium
825,"Track: Death March. Artist: Here Comes A Big Black Cloud!!. Album: Pompeii. From Portland, OR. Tags: here comes a big black cloud.",Psych-Rock|Indie-Rock|Rock|Loud-Rock,Here Comes A Big Black Cloud!!,train,Rock,small
826,"Track: Graverobbin. Artist: Here Comes A Big Black Cloud!!. Album: Pompeii. From Portland, OR. Tags: here comes a big black cloud.",Psych-Rock|Indie-Rock|Rock|Loud-Rock,Here Comes A Big Black Cloud!!,train,Rock,medium
829,"Track: The Fly Pt. II. Artist: Here Comes A Big Black Cloud!!. Album: Pompeii. From Portland, OR. Tags: here comes a big black cloud.",Psych-Rock|Indie-Rock|Rock|Loud-Rock,Here Comes A Big Black Cloud!!,train,Rock,medium
830,"Track: Vietnam. Artist: Here Comes A Big Black Cloud!!. Album: Here Comes A Big Black Cloud!!. From Portland, OR. Tags: here comes a big black cloud.",Psych-Rock|Indie-Rock|Rock|Loud-Rock,Here Comes A Big Black Cloud!!,train,Rock,medium
831,"Track: Late Late Show. Artist: Here's How. Album: blissblood.com. From Brooklyn, NY. Tags: heres how.",Jazz,Here's How,train,Jazz,medium
832,"Track: My Heart Beats Like A Hammer. Artist: Here's How. Album: blissblood.com. From Brooklyn, NY. Tags: heres how.",Jazz,Here's How,train,Jazz,medium
833,"Track: From This Moment On. Artist: Here's How. Album: blissblood.com. From Brooklyn, NY. Tags: heres how.",Jazz,Here's How,train,Jazz,medium
834,"Track: You Showed Me The Way. Artist: Here's How. Album: blissblood.com. From Brooklyn, NY. Tags: heres how.",Jazz,Here's How,train,Jazz,medium
835,"Track: Ain't No Use. Artist: Here's How. Album: blissblood.com. From Brooklyn, NY. Tags: heres how.",Jazz,Here's How,train,Jazz,medium
853,Track: Welsinsni Melodyi. Artist: Hutzl Ukranian Ensemble. Album: Black Mirror: Reflections In Global Musics (1915-1955). Tags: hutzl ukranian ensemble.,International,Hutzl Ukranian Ensemble,train,International,small
854,"Track: INXS. Artist: Nautical Almanac. Album: ""Something"" Euro Tour 2005. From Baltimore, MD. Tags: baltimore, tarantula hill, chicago, nautical almanac.",Noise|Experimental,Nautical Almanac,test,Experimental,medium
855,"Track: Aimless Journey. Artist: I Am the Liquor. Album: No Demo. From Chicago, IL. Tags: i am the liquor.",Rock,I Am the Liquor,train,Rock,medium
858,"Track: Blastered. Artist: I Am the Liquor. Album: No Demo. From Chicago, IL. Tags: i am the liquor.",Rock,I Am the Liquor,train,Rock,medium
861,"Track: Kicking & Screaming. Artist: I Am the Liquor. Album: No Demo. From Chicago, IL. Tags: i am the liquor.",Rock,I Am the Liquor,train,Rock,medium
863,"Track: Bariwax. Artist: I Am the Liquor. Album: No Demo. From Chicago, IL. Tags: i am the liquor.",Rock,I Am the Liquor,train,Rock,medium
868,"Track: The Stars Are Beautiful. Artist: Ian Nagoski. Album: Warm Coursing Blood. From Baltimore, MD. Tags: baltimore, ian nagoski.",Experimental,Ian Nagoski,train,Experimental,medium
878,"Track: Bad Carnival Acid. Artist: Illusion of Safety. Album: unreleased Illusion of Safety mp3s. From Chicago, IL. Tags: illusion of safety.",Electronic,Illusion of Safety,train,Electronic,medium
881,"Track: I could be wrong. Artist: Illusion of Safety. Album: unreleased new recordings 2008. From Chicago, IL. Tags: illusion of safety.",Electronic,Illusion of Safety,train,Electronic,medium
889,"Track: Wasteland. Artist: Illusion of Safety. Album: unreleased Illusion of Safety mp3s. From Chicago, IL. Tags: illusion of safety.",Electronic,Illusion of Safety,train,Electronic,medium
890,"Track: Softly Tomorrow. Artist: Ilyas Ahmed. Album: Century of Moonlight. From Portland, OR. Tags: ilyas ahmed.",Folk,Ilyas Ahmed,test,Folk,small
891,"Track: Your One Mind. Artist: Ilyas Ahmed. Album: Century of Moonlight. From Portland, OR. Tags: ilyas ahmed.",Folk,Ilyas Ahmed,test,Folk,medium
892,"Track: Phantom Sky. Artist: Ilyas Ahmed. Album: The Vertigo of Dawn. From Portland, OR. Tags: ilyas ahmed.",Folk,Ilyas Ahmed,test,Folk,small
893,"Track: The Gathering. Artist: Ilyas Ahmed. Album: Century of Moonlight. From Portland, OR. Tags: ilyas ahmed.",Folk,Ilyas Ahmed,test,Folk,medium
894,"Track: Moon Falling. Artist: Ilyas Ahmed. Album: The Vertigo of Dawn. From Portland, OR. Tags: ilyas ahmed.",Folk,Ilyas Ahmed,test,Folk,medium
895,"Track: Unveiled Nightmare. Artist: Ilyas Ahmed. Album: The Vertigo of Dawn. From Portland, OR. Tags: ilyas ahmed.",Folk,Ilyas Ahmed,test,Folk,medium
896,"Track: 2012. Artist: Impediments. Album: Impediments. From San Francisco, CA. Tags: impediments.",Punk|Rock|Power-Pop,Impediments,train,Rock,medium
897,"Track: 02. Artist: Infinite Body. Album: White Hymn. From Pasadena, CA. Tags: infinite body.",Noise|Experimental,Infinite Body,train,Experimental,small
898,"Track: 09 (extended version). Artist: Infinite Body. Album: White Hymn. From Pasadena, CA. Tags: infinite body.",Noise|Experimental,Infinite Body,train,Experimental,medium
992,"Track: Beautiful Song w/ kick drum solo. Artist: Jason Willett. Album: The Sounds of Megaphone Unlimited. From Baltimore, MD. Tags: baltimore, jason willett.",Rock,Jason Willett,train,Rock,medium
993,"Track: Or So I've Been Told. Artist: Jad Fair and Jason Willett. Album: The Sounds of Megaphone Unlimited. Tags: baltimore, jad fair and jason willett.",Rock,Jad Fair and Jason Willett,val,Rock,small
995,"Track: No Good Deed Goes Unpunished. Artist: Kevin Shields. Album: The Death of Patience. From Los Angeles, CA. Tags: kevin shields.",Noise|Experimental,Kevin Shields,train,Experimental,small
997,"Track: Nothing's Ever Ending. Artist: Kevin Shields. Album: The Death of Patience. From Los Angeles, CA. Tags: kevin shields.",Noise|Experimental,Kevin Shields,train,Experimental,small
998,"Track: Apparently. Artist: Kevin Shields. Album: The Death of Patience. From Los Angeles, CA. Tags: kevin shields.",Noise|Experimental,Kevin Shields,train,Experimental,small
1014,"Track: Turk, Taylor and Jones. Artist: Kowloon Walled City. Album: Turk Street. From San Francisco, CA. Tags: san francisco, kowloon walled city.",Rock|Metal,Kowloon Walled City,val,Rock,medium
1015,"Track: My Hands Are Turning To Bricks. Artist: Kowloon Walled City. Album: Turk Street. From San Francisco, CA. Tags: san francisco, kowloon walled city.",Rock|Metal,Kowloon Walled City,val,Rock,medium
1016,"Track: Another Corporate Takeover. Artist: Kowloon Walled City. Album: Turk Street. From San Francisco, CA. Tags: san francisco, kowloon walled city.",Rock|Metal,Kowloon Walled City,val,Rock,medium
1017,"Track: Inheritance. Artist: Kowloon Walled City. Album: Turk Street. From San Francisco, CA. Tags: san francisco, kowloon walled city.",Rock|Metal,Kowloon Walled City,val,Rock,medium
1018,"Track: Make Us Pay. Artist: Kowloon Walled City. Album: Turk Street. From San Francisco, CA. Tags: san francisco, kowloon walled city.",Rock|Metal,Kowloon Walled City,val,Rock,medium
1022,"Track: Inasmuch As. Artist: Kyle Bruckmann's Wrack. Album: Intents &amp; Purposes. From Oakland, CA. Tags: kyle bruckmanns wrack.",Jazz,Kyle Bruckmann's Wrack,train,Jazz,medium
1023,"Track: Despite All Evidence to the Contrary. Artist: Kyle Bruckmann's Wrack. Album: Intents &amp; Purposes. From Oakland, CA. Tags: kyle bruckmanns wrack.",Jazz,Kyle Bruckmann's Wrack,train,Jazz,medium
1028,"Track: Masters Of Science Fiction. Artist: Lazy Magnet. Album: Is Music Even Good?. From Providence, RI. Tags: providence, lazy magnet.",Rock,Lazy Magnet,train,Rock,medium
